168	Northern Rockhopper Penguin	104579251482516798068004970213708137179	2015-08-11 19:13:10	2015-08-11 19:13:10
169	Greater Kestrel	5610256459406349801119767780408591834	2015-08-11 19:13:11	2015-08-11 19:13:11
170	Red-footed Falcon	40801748582280445222146337150373481508	2015-08-11 19:13:11	2015-08-11 19:13:11
171	Faucon kobez	128386880459338948326844612102198314950	2015-08-11 19:13:11	2015-08-11 19:13:11
172	faucons	116904662917546506730759418555732114667	2015-08-11 19:13:11	2015-08-11 19:13:11
173	Atlantic Puffin	298248841941478564490078259614170946572	2015-08-11 19:13:12	2015-08-11 19:13:12
174	Macareux moine	263951474943598974755405835847169233054	2015-08-11 19:13:12	2015-08-11 19:13:12
175	Northern Fulmar	252538077844223912975909879597950687500	2015-08-11 19:13:13	2015-08-11 19:13:13
176	Fulmar norteño	292487804428986674572845459035664048641	2015-08-11 19:13:13	2015-08-11 19:13:13
177	Fulmar boréal	193829291281631746605037226373572678568	2015-08-11 19:13:13	2015-08-11 19:13:13
178	Latham's Snipe	285438845436769908199576708570374510804	2015-08-11 19:13:14	2015-08-11 19:13:14
179	Japanese Snipe	321803895357282475665492464964876704027	2015-08-11 19:13:14	2015-08-11 19:13:14
180	Rock Pratincole	144114298717159940646194634566648792645	2015-08-11 19:13:14	2015-08-11 19:13:14
181	râles	312416126486040755421326778860101389122	2015-08-11 19:13:15	2015-08-11 19:13:15
182	Striped Kingfisher	289913952313555797493376151329064568138	2015-08-11 19:13:15	2015-08-11 19:13:15
183	Black-capped Kingfisher	61513543149642426229202439110452009993	2015-08-11 19:13:16	2015-08-11 19:13:16
184	echasse d'Amérique	285942346543965342689873784522105418272	2015-08-11 19:13:16	2015-08-11 19:13:16
185	Candelero americano	33112423312131847209671104329411151042	2015-08-11 19:13:16	2015-08-11 19:13:16
186	Black-necked Stilt	119580936595437012307949725712825297523	2015-08-11 19:13:16	2015-08-11 19:13:16
187	Échasse d'Amérique	97885955457426407065314004089339395237	2015-08-11 19:13:16	2015-08-11 19:13:16
188	Icterine Warbler	22448254996684880662645962292547403901	2015-08-11 19:13:17	2015-08-11 19:13:17
